# station: Maalayarkattu Bridge
# unit_id: IDP
# device_key: q9noz41qfio
# type: river_level   region: batticaloa
# value unit: m   max_level_m: 6
# lat: 7.434   lon: 81.69227
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-09-24T09:06:00Z,2026-09-24 14:36:00,0.52,,chart
2026-09-24T09:07:00Z,2026-09-24 14:37:00,0.52,,chart
2026-09-24T09:08:00Z,2026-09-24 14:38:00,0.52,,chart
2026-09-24T09:09:00Z,2026-09-24 14:39:00,0.52,,chart
2026-09-24T09:10:00Z,2026-09-24 14:40:00,0.52,,chart
2026-09-24T09:11:00Z,2026-09-24 14:41:00,0.52,,chart
2026-09-24T09:12:00Z,2026-09-24 14:42:00,0.52,,chart
2026-09-24T09:13:00Z,2026-09-24 14:43:00,0.52,,chart
2026-09-24T09:14:00Z,2026-09-24 14:44:00,0.51,,chart
2026-09-24T09:15:00Z,2026-09-24 14:45:00,0.52,,chart
2026-09-24T09:16:00Z,2026-09-24 14:46:00,0.52,,chart
2026-09-24T09:17:00Z,2026-09-24 14:47:00,0.52,,chart
2026-09-24T09:18:00Z,2026-09-24 14:48:00,0.52,,chart
2026-09-24T09:19:00Z,2026-09-24 14:49:00,0.52,,chart
2026-09-24T09:20:00Z,2026-09-24 14:50:00,0.52,,chart
2026-09-24T09:21:00Z,2026-09-24 14:51:00,0.52,,chart
2026-09-24T09:22:00Z,2026-09-24 14:52:00,0.52,,chart
2026-09-24T09:23:00Z,2026-09-24 14:53:00,0.52,,chart
2026-09-24T09:24:00Z,2026-09-24 14:54:00,0.52,,chart
2026-09-24T09:25:00Z,2026-09-24 14:55:00,0.52,,chart
2026-09-24T09:26:00Z,2026-09-24 14:56:00,0.52,,chart
2026-09-24T09:27:00Z,2026-09-24 14:57:00,0.52,,chart
2026-09-24T09:28:00Z,2026-09-24 14:58:00,0.52,,chart
2026-09-24T09:29:00Z,2026-09-24 14:59:00,0.52,,chart
2026-09-24T09:30:00Z,2026-09-24 15:00:00,0.52,,chart
2026-09-24T09:31:00Z,2026-09-24 15:01:00,0.52,,chart
2026-09-24T09:32:00Z,2026-09-24 15:02:00,0.5,,chart
2026-09-24T09:33:00Z,2026-09-24 15:03:00,0.5,,chart
2026-09-24T09:34:00Z,2026-09-24 15:04:00,0.5,,chart
2026-09-24T09:35:00Z,2026-09-24 15:05:00,0.52,,chart
2026-09-24T09:36:00Z,2026-09-24 15:06:00,0.52,,chart
2026-09-24T09:37:00Z,2026-09-24 15:07:00,0.51,,chart
2026-09-24T09:38:00Z,2026-09-24 15:08:00,0.51,,chart
2026-09-24T09:39:00Z,2026-09-24 15:09:00,0.51,,chart
2026-09-24T09:40:00Z,2026-09-24 15:10:00,0.51,,chart
2026-09-24T09:41:00Z,2026-09-24 15:11:00,0.51,,chart
2026-09-24T09:42:00Z,2026-09-24 15:12:00,0.51,,chart
2026-09-24T09:43:00Z,2026-09-24 15:13:00,0.51,,chart
2026-09-24T09:44:00Z,2026-09-24 15:14:00,0.51,,chart
2026-09-24T09:45:00Z,2026-09-24 15:15:00,0.51,,chart
2026-09-24T09:46:00Z,2026-09-24 15:16:00,0.51,,chart
2026-09-24T09:47:00Z,2026-09-24 15:17:00,0.51,,chart
2026-09-24T09:48:00Z,2026-09-24 15:18:00,0.51,,chart
2026-09-24T09:49:00Z,2026-09-24 15:19:00,0.51,,chart
2026-09-24T09:50:00Z,2026-09-24 15:20:00,0.51,,chart
2026-09-24T09:51:00Z,2026-09-24 15:21:00,0.51,,chart
2026-09-24T09:52:00Z,2026-09-24 15:22:00,0.51,,chart
2026-09-24T09:53:00Z,2026-09-24 15:23:00,0.51,,chart
2026-09-24T09:54:00Z,2026-09-24 15:24:00,0.51,,chart
2026-09-24T09:55:00Z,2026-09-24 15:25:00,0.51,,chart
2026-09-24T09:56:00Z,2026-09-24 15:26:00,0.51,,chart
2026-09-24T09:57:00Z,2026-09-24 15:27:00,0.51,,chart
2026-09-24T09:58:00Z,2026-09-24 15:28:00,0.51,,chart
2026-09-24T09:59:00Z,2026-09-24 15:29:00,0.51,,chart
2026-09-24T10:00:00Z,2026-09-24 15:30:00,0.51,,chart
2026-09-24T10:01:00Z,2026-09-24 15:31:00,0.51,,chart
2026-09-24T10:02:00Z,2026-09-24 15:32:00,0.51,,chart
2026-09-24T10:03:00Z,2026-09-24 15:33:00,0.51,,chart
